2026-09-05 23:31:53,868 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-05 23:31:53,868 | INFO | hr_assistant.pipeline | No Qdrant Cloud collection found, building one from scratch
2026-09-05 23:31:53,868 | INFO | hr_assistant.document_loader | Loading document from 'data\hr_policy.txt'
2026-09-05 23:31:53,868 | INFO | hr_assistant.document_loader | Loaded 1 document(s)
2026-09-05 23:31:53,868 | INFO | hr_assistant.splitter | Split document(s) into 9 chunk(s)
2026-09-05 23:31:53,868 | INFO | hr_assistant.vector_store | Embedding 9 chunk(s) and building FAISS index in memory
2026-09-05 23:31:53,868 | INFO | hr_assistant.embeddings | Initializing embeddings model 'jina-embeddings-v2-base-en'
2026-09-05 23:31:55,891 | INFO | faiss.loader | Loading faiss with AVX2 support.
2026-09-05 23:31:55,893 | INFO | faiss.loader | Could not load library with AVX2 support due to:
ModuleNotFoundError("No module named 'faiss.swigfaiss_avx2'")
2026-09-05 23:31:55,894 | INFO | faiss.loader | Loading faiss.
2026-09-05 23:32:00,190 | INFO | faiss.loader | Successfully loaded faiss.
2026-09-05 23:32:00,206 | INFO | hr_assistant.vector_store | FAISS index built in memory
2026-09-05 23:32:00,206 | INFO | hr_assistant.vector_store | Returning retriever for vector store with top_k=3
2026-09-05 23:32:00,214 | INFO | hr_assistant.llm | Initializing LLM 'openai/gpt-oss-20b'
2026-09-05 23:32:01,107 | INFO | hr_assistant.agent | Creating HR agent with 1 tool(s)
2026-09-05 23:32:01,177 | INFO | hr_assistant.agent | HR agent ready
2026-09-05 23:32:01,177 | INFO | hr_assistant.pipeline | HR assistant is ready to take questions
2026-09-05 23:32:17,595 | INFO | __main__ | === Streamlit run: new question received ===
2026-09-05 23:32:18,281 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 00:19:35,029 | INFO | __main__ | === Streamlit run: new question received ===
2026-09-06 00:19:36,149 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
